"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
645041,"Matematika","P","Laptop","Buku","Tidak Puas","Tinggi",9.4,"ADK1-070181B1"
563582,"Sains Aktuaria","L","Smartphone","Buku","Cukup","Rendah",5.5,"ADK1-070181B1"
453413,"Sains Aktuaria","P","Laptop","Diskusi","Puas","Sedang",7.7,"ADK1-070181B1"
324839,"Sistem Informasi","L","Smartphone","Diskusi","Tidak Puas","Rendah",5.1,"ADK1-070181B1"
976136,"Sains Data","L","Laptop","Diskusi","Tidak Puas","Sedang",7.3,"ADK1-070181B1"
522936,"Sains Data","P","Laptop","Diskusi","Cukup","Rendah",3.4,"ADK1-070181B1"
244694,"Sains Data","P","Laptop","Buku","Sangat Puas","Tinggi",11.1,"ADK1-070181B1"
737828,"Sistem Informasi","P","Laptop","Diskusi","Sangat Puas","Tinggi",9.3,"ADK1-070181B1"
286578,"Sistem Informasi","L","Laptop","Buku","Puas","Rendah",2.3,"ADK1-070181B1"
849173,"Sains Data","L","Smartphone","Buku","Puas","Tinggi",11.1,"ADK1-070181B1"
127389,"Sistem Informasi","L","Tablet","Diskusi","Sangat Puas","Sedang",6.8,"ADK1-070181B1"
250219,"Sains Data","P","Smartphone","Diskusi","Cukup","Tinggi",10,"ADK1-070181B1"
687599,"Matematika","L","Smartphone","Diskusi","Sangat Puas","Sedang",7.1,"ADK1-070181B1"
282471,"Sains Data","P","Laptop","Praktik","Cukup","Sedang",5.1,"ADK1-070181B1"
858409,"Sistem Informasi","L","Smartphone","Video","Sangat Puas","Tinggi",10.6,"ADK1-070181B1"
296357,"Sains Data","L","Laptop","Buku","Cukup","Tinggi",9.7,"ADK1-070181B1"
577728,"Sains Aktuaria","L","Smartphone","Buku","Puas","Tinggi",7.2,"ADK1-070181B1"
329433,"Matematika","P","Laptop","Buku","Puas","Tinggi",7.1,"ADK1-070181B1"
210167,"Sistem Informasi","L","Laptop","Diskusi","Puas","Tinggi",9.5,"ADK1-070181B1"
371705,"Sistem Informasi","P","Laptop","Buku","Puas","Sedang",10.1,"ADK1-070181B1"
521819,"Sistem Informasi","P","Laptop","Buku","Puas","Rendah",1.2,"ADK1-070181B1"
860654,"Sistem Informasi","L","Laptop","Buku","Cukup","Tinggi",5,"ADK1-070181B1"
854745,"Sains Aktuaria","P","Laptop","Diskusi","Sangat Puas","Sedang",4.8,"ADK1-070181B1"
195380,"Sains Aktuaria","P","Smartphone","Buku","Tidak Puas","Sedang",9.3,"ADK1-070181B1"
464995,"Sains Data","P","Smartphone","Buku","Sangat Puas","Sedang",6.2,"ADK1-070181B1"
220890,"Sains Data","L","Tablet","Video","Cukup","Rendah",2.1,"ADK1-070181B1"
718309,"Sains Data","P","Smartphone","Buku","Cukup","Sedang",5.5,"ADK1-070181B1"
269643,"Sains Data","L","Tablet","Praktik","Tidak Puas","Tinggi",9.5,"ADK1-070181B1"
786221,"Sistem Informasi","P","Laptop","Diskusi","Puas","Sedang",9.5,"ADK1-070181B1"
570472,"Sains Aktuaria","L","Laptop","Diskusi",,"Sedang",6.6,"ADK1-070181B1"
200948,"Sistem Informasi","L","Laptop","Praktik","Sangat Puas","Sedang",7.9,"ADK1-070181B1"
205337,"Sistem Informasi","P","Smartphone","Diskusi","Cukup",,7,"ADK1-070181B1"
108146,"Sains Aktuaria","L","Laptop","Buku","Puas","Tinggi",10.5,"ADK1-070181B1"
453321,"Sains Aktuaria","P","Tablet","Video","Cukup","Tinggi",9,"ADK1-070181B1"
573985,"Sains Data","L","Laptop","Buku","Sangat Puas","Sedang",4.9,"ADK1-070181B1"
468866,"Sains Data","L","Laptop","Buku","Cukup","Rendah",2.5,"ADK1-070181B1"
682032,"Sains Data","P","Tablet","Praktik","Sangat Puas","Tinggi",6.7,"ADK1-070181B1"
803781,"Sains Aktuaria","L","Smartphone","Praktik","Puas","Tinggi",12.3,"ADK1-070181B1"
941891,"Sains Data","L","Laptop","Diskusi","Cukup","Tinggi",9.7,"ADK1-070181B1"
604075,"Matematika","P","Laptop","Video","Cukup","Rendah",4.7,"ADK1-070181B1"
152255,"Sains Data","L","Tablet","Buku","Cukup","Rendah",8.4,"ADK1-070181B1"
820951,"Sistem Informasi","L","Laptop","Praktik","Cukup","Sedang",9.7,"ADK1-070181B1"
347379,"Sistem Informasi","L","Laptop","Praktik","Cukup","Sedang",5,"ADK1-070181B1"
512765,"Sains Aktuaria","L",,"Buku","Sangat Puas","Tinggi",7.9,"ADK1-070181B1"
518493,"Sains Data","P","Laptop","Praktik","Tidak Puas","Tinggi",10.8,"ADK1-070181B1"
224614,"Sains Aktuaria","P","Tablet","Video","Sangat Puas","Sedang",9.6,"ADK1-070181B1"
825488,"Sistem Informasi","L","Laptop","Buku","Tidak Puas","Rendah",4.2,"ADK1-070181B1"
134741,"Sistem Informasi","L","Tablet","Video","Cukup","Sedang",5.5,"ADK1-070181B1"
551368,"Sains Data","L","Smartphone","Diskusi","Puas","Tinggi",10.8,"ADK1-070181B1"
350216,"Sains Data","L","Laptop","Diskusi","Puas","Sedang",5.5,"ADK1-070181B1"
249216,"Sains Aktuaria","L","Laptop","Diskusi","Cukup","Rendah",2.1,"ADK1-070181B1"
137652,"Sistem Informasi","P","Laptop","Praktik","Puas","Tinggi",9.9,"ADK1-070181B1"
511200,"Matematika","L","Smartphone","Buku","Puas","Rendah",2.8,"ADK1-070181B1"
769296,"Sains Data","L","Laptop","Buku","Tidak Puas","Rendah",8.6,"ADK1-070181B1"
415230,"Sains Aktuaria","P","Smartphone","Diskusi","Sangat Puas","Tinggi",10.6,"ADK1-070181B1"
312683,"Matematika","L","Laptop","Buku","Puas","Rendah",4.9,"ADK1-070181B1"
203015,"Sistem Informasi","L","Laptop","Praktik","Cukup","Rendah",4,"ADK1-070181B1"
618603,"Sains Aktuaria","L","Laptop","Buku","Sangat Puas","Sedang",4.8,"ADK1-070181B1"
144205,"Matematika","P","Smartphone","Buku","Tidak Puas","Sedang",6.1,"ADK1-070181B1"
443453,"Sains Data","L","Smartphone","Praktik","Sangat Puas","Tinggi",10.5,"ADK1-070181B1"
615603,"Sains Aktuaria","P","Smartphone","Praktik","Sangat Puas","Tinggi",11,"ADK1-070181B1"
696402,"Sains Aktuaria","P","Smartphone","Praktik","Sangat Puas","Sedang",9.9,"ADK1-070181B1"
862459,"Sistem Informasi","P","Smartphone","Diskusi","Sangat Puas","Tinggi",10.6,"ADK1-070181B1"
857021,"Sains Data","L","Laptop","Video","Sangat Puas","Rendah",3.9,"ADK1-070181B1"
596330,"Sistem Informasi","L","Laptop","Diskusi","Sangat Puas","Tinggi",9.7,"ADK1-070181B1"
114086,"Sistem Informasi","L","Laptop","Diskusi","Sangat Puas","Rendah",5.1,"ADK1-070181B1"
